Genus	Species	Subspecies	Name.Clem	Notes	Localities
Chamaeza	mollissima		Chamaeza mollissima		Almaguer-1; Laguneta-2
Chamaeza	turdina		Chamaeza turdina		Andalucia-1; La Palma-1
Charadrius	collaris		Charadrius collaris		La Morelia-2
Charadrius	semipalmatus		Charadrius semipalmatus		Tumaco-1
Charadrius			Charadrius		Cali-1
Chiroxiphia	napensis		Chiroxiphia pareola		La Morelia-2
Chloroceryle	amazona		Chloroceryle amazona		Andalucia-1; Cali-7; Chicoral-1; La Morelia-2; Rio Frio-1; San Jose-1; Villavicencio-1
Chloroceryle	americana	americana	Chloroceryle americana		Barbacoas-2; Cali-5; Chicoral-3; La Morelia-1; Rio Frio-1; Tumaco-1
Chloroceryle	americana	cabanisii	Chloroceryle americana		Cali-1
Chloroceryle	americana		Chloroceryle americana		Girardot-1
