Chapman	Clements	Notes
Tapera naevia	Tapera naevia	NA
Crotophaga ani	Crotophaga ani	NA
Crotophaga major	Crotophaga major	NA
Capito aurovirens	Capito aurovirens	NA
Capito maculicoronatus rubrilateralis	Capito maculicoronatus	NA
Capito maculicoronatus pirrensis	Capito maculicoronatus	NA
Capito squamatus	Capito squamatus	NA
Capito hypoleucus	Capito hypoleucus	NA
Capito quinticolor	Capito quinticolor	NA
Capito auratus auratus	Capito auratus	NA
Eubucco richardsoni granadensis	Eubucco richardsoni	NA
Eubucco bourcieri bourcieri	Eubucco bourcierii	NA
Eubuceo bourcieri occidentalis	Eubucco bourcierii	NA
Semnornis ramphastinus	Semnornis ramphastinus	NA
Ramphastos piscivorus brevicarinatus	Ramphastos sulfuratus	NA
Ramphastos swainsoni	Ramphastos ambiguus	NA
Ramphastos ambiguus ambiguus	Ramphastos ambiguus	NA
Ramphastos ambiguus abbreviatus	Ramphastos ambiguus	NA
Ramphastos cuvieri	Ramphastos tucanus	NA
Ramphastos culminatus	Ramphastos vitellinus	NA
Ramphastos citreolaemus	Ramphastos vitellinus	NA
Andigena hypoglaucus	Andigena hypoglauca	NA
Andigena nigrirostris nigrirostris	Andigena nigrirostris	NA
Andigena nigrirostris spilorhynchus	Andigena nigrirostris	NA
Andigena nigrirostris occidentalis	Andigena nigrirostris	NA
Pteroglossus pluricinctus	Pteroglossus pluricinctus	NA
Pteroglossus castanotis castanotis	Pteroglossus castanotis	NA
Pteroglossus torquatus nuchalis	Pteroglossus torquatus	NA
Pteroglossus sanguineus	Pteroglossus torquatus	NA
Pteroglossus flavirostris flavirostris	Pteroglossus azara	NA
Pteroglossus humboldti	Pteroglossus inscriptus	NA
Selinidera reinwardti	Selenidera reinwardtii	NA
Selinidera spectabilis	Selenidera spectabilis	NA
Aulacorhynchus albivitta albivitta	Aulacorhynchus albivitta	NA
Aulacorhynchus albivitta phaeolaemus	Aulacorhynchus albivitta	NA
Aulacorhynchus albivitta griseigularis	Aulacorhynchus albivitta	NA
Aulacorhynchus haematopygius	Aulacorhynchus haematopygus	NA
Galbula ruficauda ruficauda	Galbula ruficauda	NA
Galbula ruficauda pallens	Galbula ruficauda	NA
Galbula melanogenia	Galbula ruficauda	NA
Galbula tombacea tombacea	Galbula tombacea	NA
Galbula albirostris chalcocephala	Galbula albirostris	NA
Brachygalba fulviventris fulviventris	Brachygalba lugubris	NA
Brachygalba fulviventris caquetae	Brachygalba lugubris	NA
Galbalcyrhynchus leucotis	Galbalcyrhynchus leucotis	NA
Bucco capensis	Bucco capensis	NA
Notharcus hyperrhynchus leucocrissus	Notharchus hyperrhynchus	NA
Notharcus pectoralis	Notharchus pectoralis	NA
Notharcus tectus subtectus	Notharchus tectus	NA
Argicus macrodactylus	Bucco macrodactylus	NA
Nystactes noanamae	Bucco noanamae	NA
Hypnelus ruficollis ruficollis	Hypnelus ruficollis	NA
Nystalus radiatus	Nystalus radiatus	NA
Malacoptila fusca	Malacoptila fusca	NA
Malacoptila mystacalis	Malacoptila mystacalis	NA
Malacoptila panamensis poliopis	Malacoptila panamensis	NA
Malacoptila panamensis panamensis	Malacoptila panamensis	NA
Micromonacha lanceolata	Micromonacha lanceolata	NA
Nonnula frontalis	Nonnula frontalis	NA
Monasa flavirostris	Monasa flavirostris	NA
Monasa morphoeus peruana	Monasa morphoeus	NA
Monasa pallescens pallescens	Monasa morphoeus	NA
Monasa pallescens sclateri	Monasa morphoeus	NA
Monasa nigrifrons	Monasa nigrifrons	NA
Hypoxanthus rivolii rivolii	Colaptes rivolii	NA
Hypoxanthus rivolii brevirostris	Colaptes rivolii	NA
Chloronerpes xanthochlorus	Piculus chrysochloros	NA
Chloronerpes litae	Piculus litae	NA
Chloronerpes rubiginosus gularis	Colaptes rubiginosus	NA
Chloronerpes rubiginosus buenavistae	Colaptes rubiginosus	NA
Chrysoptilus punctigula guttatus	Colaptes punctigula	NA
Chrysoptilus punctigula punctipectus	Colaptes punctigula	NA
Chrysoptilus punctigula ujhelyii	Colaptes punctigula	NA
Chrysoptilus punctigula striatigularis	Colaptes punctigula	NA
Melanerpes flavigula	Melanerpes formicivorus	NA
Melanerpes cruentatus	Melanerpes cruentatus	NA
Melanerpes pucherani pucherani	Melanerpes pucherani	NA
Melanerpes rubricapillus rubricapillus	Melanerpes rubricapillus	NA
Veniliornis oleaginus fumigatus	Dryobates fumigatus	NA
Veniliornis oleaginus aureus	Dryobates fumigatus	NA
Veniliornis nigriceps equifasciatus	Dryobates nigriceps	NA
Veniliornis dignus	Dryobates dignus	NA
Veniliornis fidelis	Dryobates passerinus	NA
Veniliornis ruficeps haematostigma	Dryobates affinis	NA
Veniliornis kirki cecilii	Dryobates kirkii	NA
Celeus loricatus loricatus	Celeus loricatus	NA
Celeus loricatus mentalis	Celeus loricatus	NA
Campephilus rubricollis	Campephilus rubricollis	NA
Campephilus melanoleucus	Campephilus melanoleucos	NA
Campephilus malherbii	Campephilus melanoleucos	NA
Campephilus pollens	Campephilus pollens	NA
Cniparchus haematogaster splendens	Campephilus haematogaster	NA
Ceophloeus lineatus mesorhynchus	Dryocopus lineatus	NA
Picumnus cinnamomeus	Picumnus cinnamomeus	NA
Picumnus squamulatus squamulatus	Picumnus squamulatus	NA
Picumnus olivaceus olivaceus	Picumnus olivaceus	NA
Picumnus olivaceus harterti	Picumnus olivaceus	NA
Picumnus granadensis granadensis	Picumnus granadensis	NA
Picumnus granadensis antioquensis	Picumnus granadensis	NA
Scytalopus niger	Scytalopus sp.	corresponds to multiple species of the temperate zone
Scytalopus canus	Scytalopus canus	NA
Scytalopus griseicollis	Scytalopus griseicollis	NA
Scytalopus sylvestris	Scytalopus ?spillmanni?	NA
Scytalopus micropterus micropterus	Scytalopus micropterus	NA
Scytalopus infasciatus	Scytalopus griseicollis	NA
Myornis senilis	Myornis senilis	NA
Acropternis orthonyx	Acropternis orthonyx	NA
Conopophaga aurita	Conopophaga aurita	NA
Conopophaga castaneiceps castaneiceps	Conopophaga castaneiceps	NA
Conopophaga castaneiceps chocoensis	Conopophaga castaneiceps	NA
Cymbilaimus lineatus lineatus	Cymbilaimus lineatus	NA
Cymbilaimus lineatus fasciatus	Cymbilaimus lineatus	NA
Taraba unduliger	Taraba major	NA
Taraba transandeana transandeana	Taraba major	NA
Taraba transandeana granadensis	Taraba major	NA
Thamnophilus unicolor	Thamnophilus unicolor	NA
Thamnophilus nigriceps	Thamnophilus nigriceps	NA
Thamnophilus punctatus punctatus	Thamnophilus punctatus	NA
Thamnophilus punctatus atrinucha	Thamnophilus atrinucha	NA
Thamnophilus canadensis pulchellus	Sakesphorus canadensis	NA
Thamnophilus doliatus doliatus	Thamnophilus doliatus	NA
Thamnophilus radiatus albicans	Thamnophilus doliatus	NA
Thamnophilus tenuipunctatus	Thamnophilus tenuepunctatus	NA
Thamnophilus multistriatus	Thamnophilus multistriatus	NA
Thamnistes aequatorialis	Thamnistes anabatinus	NA
Thamnistes anabatinus intermedius	Thamnistes anabatinus	NA
Clytoctantes alixii	Clytoctantes alixii	NA
Dysithamnus semicinereus semicinereus	Dysithamnus mentalis	NA
Dysithamnus semicinereus extremus	Dysithamnus mentalis	NA
Dysithamnus mentalis	Dysithamnus mentalis	NA
Dysithamnus puncticeps flemmingi	Dysithamnus puncticeps	NA
Dysithamnus puncticeps puncticeps	Dysithamnus puncticeps	NA
Dysithamnus leucostictus	Dysithamnus leucostictus	NA
Dysithamnus capitalis capitalis	Thamnophilus schistaceus	NA
Dysithamnus ardesiacus ardesiacus	Thamnomanes ardesiacus	NA
Thamnomanes glaucus	Thamnomanes caesius	NA
Myrmotherula pygmaea	Myrmotherula brachyura	specimens from pacific likely correspond to ignota
Myrmotherula surinamensis pacifica	Myrmotherula pacifica	NA
Myrmopagis fulviventris	Epinecrophylla fulviventris	NA
Myrmopagis haemnatonota	Epinecrophylla haematonota	NA
Myrmopagis ornata ornata	Epinecrophylla ornata	NA
