Name.Verb	Subspecies	Name.Clem	Localities
Glaucis hirsuta	affinis	Glaucis hirsutus	_Guengue-1; Puerto Berrio-1
Grallaria ruficeps		Grallaria nuchalis	El Penon-1
Hemispingus frontalis		Sphenopsis frontalis	Miraflores-1
Hylophilus semibrunneus		Pachysylvia semibrunnea	
Hypopyrrhus pyrhoypogaster		Hypopyrrhus pyrohypogaster	Filandia-2
Leptotila cassini	cassini	Leptotila cassinii	Puerto Nino-1
Margarornis guttuligera		Premnornis guttuliger	Fusagasuga-1
Melanerpes flavigula		Melanerpes formicivorus	
Molothrus oryzivora		Molothrus oryzivorus	La Manuelita-2; Miraflores-1
Molothrus surinamus			
Myioborus chrysops		Myioborus ornatus	Rio Toche-2
Myioborus verticalis		Myioborus miniatus	San Antonio-2
Myiozetetes 		Myiozetetes sp.	
Myrmeciza immaculata	immaculata	Hafferia immaculata	El Consuelo-3
Myrmotherula ornata	ornata	Epinecrophylla ornata	Buena Vista-1
Notiochelidon murina		Orochelidon murina	El Penon-1
Oporornis philadelphia		Geothlypis philadelphia	Villavicencio-1
Oryzoborus angolensis		Sporophila angolensis	Bogota-1
Oryzoborus crassirostris		Sporophila crassirostris	Anolaima-1
Oxyura dominica		Oxyura ferruginea	
Parula pitiayumi		Setophaga pitiayumi	Miraflores-1; Monteredondo-1
Phaethornis 		Phaethornis sp.	
Piaya minuta	gracilis	Coccycua minuta	Palmira-1
Piaya minuta		Coccycua minuta	Palmira-1
Piculus rivolii	brevirostris	Colaptes rivolii	Chipaque-1; Rio Toche-1
Piculus rivolii	rivolii	Colaptes rivolii	Chipaque-1; Rio Toche-1
Piculus rubiginosus	gularis	Colaptes rubiginosus	Buena Vista-1; Miraflores-2; San Antonio-2
Piculus rubiginosus	buenavistae	Colaptes rubiginosus	Buena Vista-1; Miraflores-2; San Antonio-2
Pionus seniloides		Pionus tumultuosus	El Penon-2
Pipra coronata	minuscula	Lepidothrix coronata	La Morelia-1
Pipra coronata	carbonata	Lepidothrix coronata	La Morelia-1
Pipra 			
Pipra pipra	coracina	Dixiphia pipra	Buena Vista-3
Psarocolius yuracares		Psarocolius bifasciatus	
